airline,airlineLabel,countryLabel,hub,hubLabel,iataCode
http://www.wikidata.org/entity/Q1138154,Spirit of Manila Airlines,Filipina,http://www.wikidata.org/entity/Q692279,Bandar Utara Internasional Diosdado Macapagal,
http://www.wikidata.org/entity/Q196817,Zest Airways,Filipina,http://www.wikidata.org/entity/Q86446,Bandar Udara Internasional Ninoy Aquino,
http://www.wikidata.org/entity/Q482192,Adam Air,Indonesia,http://www.wikidata.org/entity/Q749497,Bandar Udara Internasional Soekarno-Hatta,
http://www.wikidata.org/entity/Q407722,Air Paradise International,Indonesia,http://www.wikidata.org/entity/Q1061846,Bandar Udara Internasional Ngurah Rai,
http://www.wikidata.org/entity/Q408695,Airfast Service,Indonesia,http://www.wikidata.org/entity/Q749497,Bandar Udara Internasional Soekarno-Hatta,
http://www.wikidata.org/entity/Q2534424,Airmark Indonesia,Indonesia,http://www.wikidata.org/entity/Q3630,Jakarta,AI
http://www.wikidata.org/entity/Q619050,Asia Cargo Airlines,Indonesia,http://www.wikidata.org/entity/Q749497,Bandar Udara Internasional Soekarno-Hatta,GM
http://www.wikidata.org/entity/Q4828598,Aviastar,Indonesia,http://www.wikidata.org/entity/Q1032934,Bandar Udara Halim Perdanakusuma,
http://www.wikidata.org/entity/Q804951,Bali Air,Indonesia,http://www.wikidata.org/entity/Q749497,Bandar Udara Internasional Soekarno-Hatta,
http://www.wikidata.org/entity/Q810738,Batavia Air,Indonesia,http://www.wikidata.org/entity/Q749497,Bandar Udara Internasional Soekarno-Hatta,
http://www.wikidata.org/entity/Q618960,Batik Air,Indonesia,http://www.wikidata.org/entity/Q749497,Bandar Udara Internasional Soekarno-Hatta,ID
http://www.wikidata.org/entity/Q895173,Bouraq Indonesia,Indonesia,http://www.wikidata.org/entity/Q749497,Bandar Udara Internasional Soekarno-Hatta,
http://www.wikidata.org/entity/Q4251011,Cardig Air,Indonesia,http://www.wikidata.org/entity/Q749497,Bandar Udara Internasional Soekarno-Hatta,8F
http://www.wikidata.org/entity/Q1093383,Citilink,Indonesia,http://www.wikidata.org/entity/Q1431631,Bandar Udara Internasional Juanda,QG
http://www.wikidata.org/entity/Q5261361,Deraya Air,Indonesia,http://www.wikidata.org/entity/Q49249,Bandar Udara Internasional Husein Sastranegara,
http://www.wikidata.org/entity/Q19751627,Dimonim Air,Indonesia,http://www.wikidata.org/entity/Q963169,Bandar Udara Sentani,&mdash;
